Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;84;85;86;87;88;89;90;91;93;94;96;97;98;99;101;103;104;106;109;111;114;116
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;22;0;17.5;15.7;MÖRT;0.05;3;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;25;0;17.5;15.7;ABBO;1.98;3;27;;;;;;;;;;2;2;10;9;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;33;0;17.5;15.7;ABBO;0.54;3;3;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;50;0;17.5;15.7;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;17;0;19.9;20;GERS;0.04;3;2;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;17;0;19.9;20;MÖRT;0.25;3;8;;;;;;1;2;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;17;0;19.9;20;SARV;0.03;3;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;22;0;19.9;20;ABBO;1.01;3;16;;;;;;;;;;4;2;7;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;22;0;19.9;20;BJÖR;0.06;3;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;22;0;19.9;20;GERS;0.02;3;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;22;0;19.9;20;MÖRT;0.06;3;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;25;0;19.9;20;ABBO;0.78;3;10;;;;;;;;;;;1;;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;25;0;19.9;20;BJÖR;0.05;3;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;25;0;19.9;20;GERS;0.03;3;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;33;0;19.9;20;ABBO;0.92;3;4;;;;;;;;;;;;;;;;;;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;33;0;19.9;20;BJÖR;0.16;3;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;25;3;;20;20;0;0;180;2;;;;;;;2;2;0;41;;;1;1;50;0;19.9;20;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;17;0;27.1;26.6;ABBO;1.45;3;13;;;;;;;3;;2;1;1;1;1;1;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;17;0;27.1;26.6;GERS;0.14;3;7;;;;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;17;0;27.1;26.6;MÖRT;0.17;3;3;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;17;0;27.1;26.6;SARV;0.01;3;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;22;0;27.1;26.6;ABBO;0.6;3;10;;;;;;;;;1;5;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;22;0;27.1;26.6;MÖRT;0.43;3;6;;;;;;;;;;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;22;0;27.1;26.6;SARV;0.06;3;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;25;0;27.1;26.6;ABBO;1.74;3;18;;;;;;;;;;2;1;3;4;3;3;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;25;0;27.1;26.6;MÖRT;0.8;3;11;;;;;;;;;1;3;1;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;33;0;27.1;26.6;ABBO;1.03;3;10;;;;;;;;;;;2;;5;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;33;0;27.1;26.6;MÖRT;0.33;3;4;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;50;0;27.1;26.6;ABBO;1.28;3;3;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;30;2;;27.4;27.3;0;0;240;5;;;;;;;2;2;0;40;;;1;2;50;0;27.1;26.6;GERS;0.02;3;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;17;0;23.8;24.7;ABBO;0.58;3;4;;;;;;1;1;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;17;0;23.8;24.7;GERS;0.02;3;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;17;0;23.8;24.7;MÖRT;0.1;3;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;17;0;23.8;24.7;SARV;0.08;3;3;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;22;0;23.8;24.7;ABBO;1.38;3;15;;;;;;;;;;;1;3;2;3;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;22;0;23.8;24.7;GÄDD;2.02;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;22;0;23.8;24.7;MÖRT;3.2;3;39;;;;;;;;;;5;5;5;14;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;22;0;23.8;24.7;SARV;0.2;3;3;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;25;0;23.8;24.7;ABBO;1.82;3;14;;;;;;;;;;;;;3;4;3;;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;25;0;23.8;24.7;MÖRT;2.66;3;28;;;;;;;;;;;;7;6;8;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;25;0;23.8;24.7;SARV;0.56;3;6;;;;;;;;;;;;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;33;0;23.8;24.7;ABBO;0.68;3;3;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;35;2;;23.1;24.4;360;14;360;12;;;;;;;2;2;0;33;;;1;1;33;0;23.8;24.7;SARV;0.15;3;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
