Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;55;62;65;80;83;90
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;25;0;17,20;17,40;ABBO;2,51;3;22;;;;;;;;;;;;3;6;5;1;1;4;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;25;0;17,20;17,40;BJÖR;0,12;3;2;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;25;0;17,20;17,40;GÖS;1,79;3;8;;;;;;;;;;;;;;;;;;;;1;2;1;;;1;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;25;0;17,20;17,40;MÖRT;0,50;3;5;;;;;;;;;;;;;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;25;0;17,20;17,40;STRÖ;0,04;3;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;33;0;17,20;17,40;ABBO;3,89;3;15;;;;;;;;;;;1;;;;;;;3;1;2;3;2;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;33;0;17,20;17,40;BJÖR;0,14;3;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;33;0;17,20;17,40;BRAX;0,11;3;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;33;0;17,20;17,40;GÖS;0,66;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;33;0;17,20;17,40;MÖRT;0,34;3;2;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;50;0;17,20;17,40;ABBO;0,17;3;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;50;0;17,20;17,40;BRAX;2,50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;17;0;17,80;17,30;ABBO;0,33;3;6;;;;;;1;2;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;17;0;17,80;17,30;BJÖR;0,14;3;7;;;;;2;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;17;0;17,80;17,30;GÖS;0,33;3;4;;;;;;;;;;;1;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;17;0;17,80;17,30;MÖRT;0,97;3;21;;;;;;2;5;7;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;17;0;17,80;17,30;STRÖ;0,48;3;12;;;;;;;;;;2;4;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;22;0;17,80;17,30;ABBO;0,72;3;9;;;;;;;;;1;2;3;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;22;0;17,80;17,30;BJÖR;0,34;3;9;;;;;;;;3;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;22;0;17,80;17,30;GÖS;1,71;3;11;;;;;;;;;;;;;;;1;1;1;;2;1;2;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;22;0;17,80;17,30;MÖRT;0,75;3;15;;;;;;;2;;1;4;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;22;0;17,80;17,30;STRÖ;0,04;3;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;25;0;17,80;17,30;ABBO;1,05;3;9;;;;;;;;;;;;1;3;1;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;25;0;17,80;17,30;BJÖR;0,30;3;5;;;;;;;;;1;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;25;0;17,80;17,30;BRAX;0,43;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;25;0;17,80;17,30;GÖS;0,33;3;2;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;25;0;17,80;17,30;MÖRT;0,54;3;6;;;;;;;;;;;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;33;0;17,80;17,30;ABBO;0,51;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;33;0;17,80;17,30;BJÖR;0,09;3;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;33;0;17,80;17,30;GÖS;1,82;3;5;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;1;;;;;;;1;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;50;0;17,80;17,30;ABBO;0,61;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;5;;18,00;16,70;146;5;166;2;;;;;;;2;2;0;18;757;757;1;1;50;0;17,80;17,30;BRAX;1,04;3;3;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;17;0;17,00;16,70;ABBO;0,11;3;3;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;17;0;17,00;16,70;BJÖR;0,36;3;15;;;;;4;3;5;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;17;0;17,00;16,70;GÖS;0,11;3;2;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;17;0;17,00;16,70;MÖRT;1,02;3;32;;;;;;4;10;9;6;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;17;0;17,00;16,70;STRÖ;0,13;3;3;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;22;0;17,00;16,70;ABBO;0,70;3;11;;;;;;;;;;3;4;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;22;0;17,00;16,70;BRAX;0,18;3;4;;;;;;;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;22;0;17,00;16,70;MÖRT;0,49;3;9;;;;;;;;;;4;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;22;0;17,00;16,70;STRÖ;0,04;3;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;25;0;17,00;16,70;ABBO;0,54;3;6;;;;;;;;;;;1;2;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;25;0;17,00;16,70;BJÖR;0,10;3;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;25;0;17,00;16,70;GÖS;0,22;3;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;25;0;17,00;16,70;MÖRT;0,16;3;2;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;25;0;17,00;16,70;STRÖ;0,03;3;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;33;0;17,00;16,70;ABBO;0,44;3;3;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;33;0;17,00;16,70;GÖS;0,58;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;50;0;17,00;16,70;ABBO;0,60;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;2;;17,00;16,30;66;2;194;5;;;;;;;2;2;0;18;757;757;1;1;50;0;17,00;16,70;BRAX;0,26;3;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;17;0;16,40;16,40;ABBO;0,27;3;10;;;;;;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;17;0;16,40;16,40;BJÖR;0,29;3;13;;;;;2;6;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;17;0;16,40;16,40;GÖS;0,04;3;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;17;0;16,40;16,40;MÖRT;1,28;3;45;;;;;;9;17;16;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;17;0;16,40;16,40;STRÖ;0,14;3;4;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;22;0;16,40;16,40;ABBO;0,40;3;5;;;;;;;;;;3;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;22;0;16,40;16,40;BJÖR;0,03;3;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;22;0;16,40;16,40;GÖS;0,22;3;2;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;22;0;16,40;16,40;MÖRT;0,25;3;4;;;;;;;;;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;25;0;16,40;16,40;ABBO;0,28;3;3;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;25;0;16,40;16,40;BJÖR;0,14;3;2;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;25;0;16,40;16,40;GÖS;0,25;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;25;0;16,40;16,40;MÖRT;0,13;3;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;33;0;16,40;16,40;ABBO;1,17;3;3;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;32;3;;16,40;16,10;105;1;224;2;;;;;;;2;2;0;20;757;757;1;1;33;0;16,40;16,40;BJÖR;0,15;3;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
