Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;1;2;3;4;5;6;7;8;9;10;11;12;13;14
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;5;-3;;;330;12;220;3;0;0;;;;;2;2;0;999;758;758;1;1;2;0;18,80;18,30;ABBO;;1;19;;;1;15;2;;;1;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;5;-3;;;330;12;220;3;0;0;;;;;2;2;0;999;758;758;1;1;2;0;18,80;18,30;GERS;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;5;-3;;;330;12;220;3;0;0;;;;;2;2;0;999;758;758;1;1;2;0;18,80;18,30;MÖRT;;1;5;;;1;4;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;1;0;17,60;17,30;ABBO;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;1;0;17,60;17,30;BJÖR;;1;3;;;3;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;1;0;17,60;17,30;MÖRT;;1;17;;;15;2;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;1;0;17,60;17,30;STRÖ;;1;5;;;;5;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;1;0;17,60;17,30;VIMM;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;2;0;17,20;17,20;ABBO;;1;50;;;17;32;;;;1;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;2;0;17,20;17,20;BJÖR;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;2;0;17,20;17,20;GÄDD;;1;1;;;;;;;;;;;;1;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;2;0;17,20;17,20;GERS;;1;4;;;4;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;2;0;17,20;17,20;MÖRT;;1;3;;;1;1;;1;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;3;;;;200;5;0;0;;;;;;;2;2;0;42;754;765;1;1;2;0;17,20;17,20;STRÖ;;1;7;;;;7;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;5;;;;45;4;20;7;0;0;;;;;2;2;0;999;762;763;1;1;1;0;17,30;16,80;ABBO;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;5;;;;45;4;20;7;0;0;;;;;2;2;0;999;762;763;1;1;1;0;17,30;16,80;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;5;;;;45;4;20;7;0;0;;;;;2;2;0;999;762;763;1;1;2;0;16,80;16,70;ABBO;;1;46;;;20;23;;3;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;5;;;;45;4;20;7;0;0;;;;;2;2;0;999;762;763;1;1;2;0;16,80;16,70;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;5;;;;45;4;20;7;0;0;;;;;2;2;0;999;762;763;1;1;2;0;16,80;16,70;MÖRT;;1;2;;;1;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;31;5;;;;45;4;20;7;0;0;;;;;2;2;0;999;762;763;1;1;2;0;16,80;16,70;STRÖ;;1;11;;;;10;1;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;1;0;18,40;17,90;ABBO;;1;19;;;4;13;2;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;1;0;18,40;17,90;GÖS;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;1;0;18,40;17,90;MÖRT;;1;3;;;2;;1;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;1;0;18,40;17,90;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;2;0;18,00;18,00;ABBO;;1;84;;;41;36;2;5;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;2;0;18,00;18,00;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;2;0;18,00;18,00;MÖRT;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;2;;;;360;3;230;3;;;;;;;2;2;0;41;770;770;1;1;2;0;18,00;18,00;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;4;;;;360;3;270;3;0;0;;;;;2;2;0;999;764;755;1;1;1;0;18,20;19,60;ABBO;;1;10;;;5;5;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;4;;;;360;3;270;3;0;0;;;;;2;2;0;999;764;755;1;1;1;0;18,20;19,60;MÖRT;;1;3;;;2;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;4;;;;360;3;270;3;0;0;;;;;2;2;0;999;764;755;1;1;2;0;16,40;19,30;ABBO;;1;48;;;21;23;1;2;;1;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;4;;;;360;3;270;3;0;0;;;;;2;2;0;999;764;755;1;1;2;0;16,40;19,30;GÄDD;;1;1;;;;;;;;;;;1;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;4;;;;360;3;270;3;0;0;;;;;2;2;0;999;764;755;1;1;2;0;16,40;19,30;GERS;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;32;4;;;;360;3;270;3;0;0;;;;;2;2;0;999;764;755;1;1;2;0;16,40;19,30;MÖRT;;1;2;;;1;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;2;18;;;45;3;220;2;;;;;;;2;2;0;999;756;763;1;1;1;0;19,60;18,60;ABBO;;1;15;;;6;7;2;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;2;18;;;45;3;220;2;;;;;;;2;2;0;999;756;763;1;1;1;0;19,60;18,60;MÖRT;;1;6;;;5;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;2;18;;;45;3;220;2;;;;;;;2;2;0;999;756;763;1;1;2;0;18,20;18,10;ABBO;;1;88;;;56;23;8;1;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;2;18;;;45;3;220;2;;;;;;;2;2;0;999;756;763;1;1;2;0;18,20;18,10;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;2;18;;;45;3;220;2;;;;;;;2;2;0;999;756;763;1;1;2;0;18,20;18,10;GÖS;;1;4;;;;;1;3;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;2;18;;;45;3;220;2;;;;;;;2;2;0;999;756;763;1;1;2;0;18,20;18,10;MÖRT;;1;3;;;2;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;1;0;20,20;19,20;ABBO;;1;7;;;5;;1;1;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;1;0;20,20;19,20;BJÖR;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;1;0;20,20;19,20;MÖRT;;1;17;;;13;3;1;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;2;0;18,10;18,90;ABBO;;1;80;;;26;41;9;3;1;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;2;0;18,10;18,90;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;2;0;18,10;18,90;GÖS;;1;1;;;;;;1;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;2;0;18,10;18,90;MÖRT;;1;4;;;1;3;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;31;5;;;;60;2;20;3;;;;;;;2;2;0;36;765;765;1;1;2;0;18,10;18,90;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;2;;;;130;6;150;3;;;;;;;2;2;0;999;764;760;1;1;1;0;16,70;17,60;ABBO;;1;7;;;4;3;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;2;;;;130;6;150;3;;;;;;;2;2;0;999;764;760;1;1;1;0;16,70;17,60;MÖRT;;1;8;;;5;3;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;2;;;;130;6;150;3;;;;;;;2;2;0;999;764;760;1;1;2;0;16,10;17,40;ABBO;;1;42;;;25;11;5;;;1;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;2;;;;130;6;150;3;;;;;;;2;2;0;999;764;760;1;1;2;0;16,10;17,40;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;2;;;;130;6;150;3;;;;;;;2;2;0;999;764;760;1;1;2;0;16,10;17,40;MÖRT;;1;4;;;3;;;1;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;2;;;;130;6;150;3;;;;;;;2;2;0;999;764;760;1;1;2;0;16,10;17,40;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;1;0;19,00;17,70;ABBO;;1;5;;;2;2;1;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;1;0;19,00;17,70;BJÖR;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;1;0;19,00;17,70;LÖJA;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;1;0;19,00;17,70;MÖRT;;1;7;;;7;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;1;0;19,00;17,70;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;2;0;16,70;17,40;ABBO;;1;71;;;40;27;4;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;2;0;16,70;17,40;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;32;5;;;;190;3;320;4;;;;;;;2;2;0;999;768;765;1;1;2;0;16,70;17,40;MÖRT;;1;5;;;4;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;2;;;;340;8;0;0;0;0;;;;;2;2;0;999;760;759;1;1;1;0;18,80;18,80;ABBO;;1;3;;;3;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;2;;;;340;8;0;0;0;0;;;;;2;2;0;999;760;759;1;1;1;0;18,80;18,80;BJÖR;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;2;;;;340;8;0;0;0;0;;;;;2;2;0;999;760;759;1;1;1;0;18,80;18,80;MÖRT;;1;6;;;4;2;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;2;;;;340;8;0;0;0;0;;;;;2;2;0;999;760;759;1;1;2;0;18,80;18,70;ABBO;;1;12;;;6;4;2;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;2;;;;340;8;0;0;0;0;;;;;2;2;0;999;760;759;1;1;2;0;18,80;18,70;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;2;;;;340;8;0;0;0;0;;;;;2;2;0;999;760;759;1;1;2;0;18,80;18,70;MÖRT;;1;3;;;3;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;5;;;;260;4;320;8;;;;;;;2;2;0;999;761;763;1;1;1;0;18,50;17,80;ABBO;;1;9;;;1;8;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;5;;;;260;4;320;8;;;;;;;2;2;0;999;761;763;1;1;2;0;18,30;17,70;ABBO;;1;43;;;14;24;5;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;5;;;;260;4;320;8;;;;;;;2;2;0;999;761;763;1;1;2;0;18,30;17,70;BJÖR;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1984;33;5;;;;260;4;320;8;;;;;;;2;2;0;999;761;763;1;1;2;0;18,30;17,70;GERS;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;1;0;13,80;8,30;ABBO;;1;2;;;;;1;1;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;1;0;13,80;8,30;MÖRT;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;1;0;13,80;8,30;STRÖ;;1;2;;;;1;1;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;2;0;11,60;7,60;ABBO;;1;60;;;23;22;12;;3;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;2;0;11,60;7,60;GERS;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;2;0;11,60;7,60;GÖS;;1;5;;;;;2;2;1;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;2;0;11,60;7,60;MÖRT;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;2;29;;;230;7;180;6;0;0;;;;;2;2;0;999;751;749;1;1;2;0;11,60;7,60;STRÖ;;1;2;;;;2;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;1;0;11,80;13,10;ABBO;;1;15;;;4;5;;6;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;1;0;11,80;13,10;BJÖR;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;1;0;11,80;13,10;GÖS;;1;2;;;;;2;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;1;0;11,80;13,10;MÖRT;;1;5;;;4;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;1;0;11,80;13,10;STRÖ;;1;8;;;;8;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;2;0;10,70;12,00;ABBO;;1;70;;;32;28;8;2;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;2;0;10,70;12,00;GERS;;1;2;;;2;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;2;0;10,70;12,00;GÖS;;1;4;;;;;2;2;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;32;5;5;;;10;3;360;3;0;0;;;;;2;2;0;46;758;759;1;1;2;0;10,70;12,00;STRÖ;;1;5;;;;5;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;33;2;9;;;230;9;200;8;0;0;;;;;2;2;0;999;757;762;1;1;1;0;12,20;12,40;ABBO;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;33;2;9;;;230;9;200;8;0;0;;;;;2;2;0;999;757;762;1;1;1;0;12,20;12,40;SIK;;1;1;;;;;1;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;33;2;9;;;230;9;200;8;0;0;;;;;2;2;0;999;757;762;1;1;1;0;12,20;12,40;STRÖ;;1;33;;;1;32;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1985;33;2;9;;;230;9;200;8;0;0;;;;;2;2;0;999;757;762;1;1;2;0;12,10;12,40;ABBO;;1;53;;;25;21;5;1;1;;;;;;;;
