Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;6;9;11;14;16;19;21;24;26;29;31;34;36;39;41;44;46;49;51;56;59;61;64;71
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;2;0;18,10;16,80;MÖRT;;2;9;;;;;7;1;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;1;0;16,40;16,00;ABBO;;2;5;;;;1;2;1;;;;;1;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;1;0;16,40;16,00;BJÖR;;2;2;;;;;2;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;1;0;16,40;16,00;GÖS;;2;1;;;;;;;;;;1;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;1;0;16,40;16,00;ID;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;1;0;16,40;16,00;MÖRT;;2;20;;;;;14;3;3;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;1;0;16,40;16,00;STRÖ;;2;3;;;;;;;2;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;2;0;16,40;15,70;ABBO;;2;47;;;;;27;14;2;2;;1;;1;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;2;0;16,40;15,70;BJÖR;;2;4;;;;;4;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;2;0;16,40;15,70;GERS;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;2;0;16,40;15,70;MÖRT;;2;14;;;;;9;2;1;2;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;2;24;;;90;4;80;4;0;0;;;;;2;2;0;35;749;753;1;1;2;0;16,40;15,70;STRÖ;;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;1;0;16,30;15,60;ABBO;;2;19;;;;;13;4;2;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;1;0;16,30;15,60;MÖRT;;2;3;;;;;2;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;2;0;15,20;14,20;ABBO;;2;18;;;;;10;4;3;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;2;0;15,20;14,20;BJÖR;;2;2;;;;;;1;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;2;0;15,20;14,20;GERS;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;2;0;15,20;14,20;GÖS;;2;1;;;;;;;;;1;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;2;0;15,20;14,20;MÖRT;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;32;5;-4;;;200;3;45;1;0;0;;;;;2;2;0;40;754;754;1;1;2;0;15,20;14,20;STRÖ;;2;6;;;;;;;5;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;2;10;;;50;5;30;6;0;0;;;;;2;2;0;40;761;761;1;1;1;0;14,20;14,00;BJÖR;;2;2;;;;;2;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;2;10;;;50;5;30;6;0;0;;;;;2;2;0;40;761;761;1;1;1;0;14,20;14,00;MÖRT;;2;3;;;;;3;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;2;10;;;50;5;30;6;0;0;;;;;2;2;0;40;761;761;1;1;1;0;14,20;14,00;STRÖ;;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;2;10;;;50;5;30;6;0;0;;;;;2;2;0;40;761;761;1;1;2;0;14,20;13,90;ABBO;;2;21;;;;;8;6;7;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;2;10;;;50;5;30;6;0;0;;;;;2;2;0;40;761;761;1;1;2;0;14,20;13,90;GERS;;2;2;;;;1;;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;1;0;15,30;14,70;BJÖR;;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;1;0;15,30;14,70;GÖS;;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;1;0;15,30;14,70;MÖRT;;2;10;;;;;7;2;;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;1;0;15,30;14,70;STRÖ;;2;9;;;;;;2;7;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;2;0;14,60;14,70;ABBO;;2;28;;;;;14;8;3;3;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;2;0;14,60;14,70;MÖRT;;2;3;;;;;1;2;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;33;4;15;;;30;6;340;6;;;;;;;2;2;0;41;761;761;1;1;2;0;14,60;14,70;STRÖ;;2;5;;;;;;;5;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;1;0;15,00;14,60;ABBO;;2;8;;;;;1;4;3;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;1;0;15,00;14,60;BJÖR;;2;9;;;;3;6;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;1;0;15,00;14,60;GÖS;;2;2;;;;;;;;;2;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;1;0;15,00;14,60;MÖRT;;2;40;;;;;18;16;4;1;;1;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;1;0;15,00;14,60;STRÖ;;2;12;;;;;1;;10;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;ABBO;;2;50;;;;;12;21;13;;1;2;;;;;;;1;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;BJÖR;;2;15;;;;;4;2;9;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;GERS;;2;5;;;;3;2;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;GÖS;;2;5;;;;;;;;;;2;;3;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;MÖRT;;2;101;;;;;45;37;17;1;;1;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;STRÖ;;2;11;;;;;;;11;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;2;16;;;230;6;20;3;0;0;;;;;2;2;0;999;757;766;1;1;2;0;14,00;13,60;VIMM;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;1;0;14,20;14,00;ABBO;;2;2;;;;;;;1;;;1;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;1;0;14,20;14,00;BJÖR;;2;3;;;;;2;;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;1;0;14,20;14,00;GÖS;;2;2;;;;;;;;;1;;;;;;;1;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;1;0;14,20;14,00;MÖRT;;2;49;;;;;17;14;12;6;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;1;0;14,20;14,00;STRÖ;;2;5;;;;;;;1;4;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;1;0;14,20;14,00;VIMM;;2;2;;;;;1;;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;2;0;14,10;14,00;ABBO;;2;31;;;;;12;5;5;6;3;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;2;0;14,10;14,00;BJÖR;;2;2;;;;;;1;;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;2;0;14,10;14,00;GERS;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;2;0;14,10;14,00;GÖS;;2;4;;;;;;;;;1;;;1;1;;;;;1;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;2;0;14,10;14,00;MÖRT;;2;64;;;;;18;32;6;5;;1;1;1;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;31;5;22;;;300;5;300;4;0;0;;;;;2;2;0;999;754;755;1;1;2;0;14,10;14,00;STRÖ;;2;3;;;;;;;2;;1;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;1;0;15,70;15,80;ABBO;;2;2;;;;;;;1;;;;;;1;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;1;0;15,70;15,80;BJÖR;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;1;0;15,70;15,80;MÖRT;;2;11;;;;5;1;1;4;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;2;0;15,70;15,60;ABBO;;2;40;;;;;7;8;17;6;;2;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;2;0;15,70;15,60;BJÖR;;2;3;;;;1;2;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;2;0;15,70;15,60;GÄDD;;2;1;;;;;;;;;;;;;;;;;1;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;2;0;15,70;15,60;GERS;;2;4;;;;4;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;4;12;;;294;4;334;4;0;0;;;;;2;2;0;999;761;760;1;1;2;0;15,70;15,60;MÖRT;;2;10;;;;;5;5;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;1;0;16,50;16,20;ABBO;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;1;0;16,50;16,20;BJÖR;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;1;0;16,50;16,20;MÖRT;;2;20;;;;1;13;5;;;;1;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;1;0;16,50;16,20;STRÖ;;2;2;;;;;;1;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;2;0;16,40;15,90;ABBO;;2;27;;;;2;10;5;7;1;1;1;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;2;0;16,40;15,90;BJÖR;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;2;0;16,40;15,90;GERS;;2;5;;;;4;1;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;32;5;12;;;334;4;180;4;0;0;;;;;2;2;0;999;760;758;1;1;2;0;16,40;15,90;MÖRT;;2;17;;;;2;13;1;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;33;2;20;;;180;7;220;7;0;0;;;;;2;2;0;999;756;754;1;1;1;0;16,60;16,20;ABBO;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;33;2;20;;;180;7;220;7;0;0;;;;;2;2;0;999;756;754;1;1;1;0;16,60;16,20;BJÖR;;2;2;;;;2;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;33;2;20;;;180;7;220;7;0;0;;;;;2;2;0;999;756;754;1;1;1;0;16,60;16,20;MÖRT;;2;32;;;;;26;5;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;33;2;20;;;180;7;220;7;0;0;;;;;2;2;0;999;756;754;1;1;1;0;16,60;16,20;STRÖ;;2;2;;;;;;1;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;33;2;20;;;180;7;220;7;0;0;;;;;2;2;0;999;756;754;1;1;2;0;16,60;16,20;ABBO;;2;49;;;;;17;11;16;5;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1988;33;2;20;;;180;7;220;7;0;0;;;;;2;2;0;999;756;754;1;1;2;0;16,60;16,20;BJÖR;;2;3;;;;;1;1;1;;;;;;;;;;;;;;;;;;
