Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;9;11;14;16;19;21;24;26;29;31;34;36;39;41;44;46;49;51;54;56;59;61;66;69;71;76;81;101
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;ID;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;MÖRT;;2;24;;1;9;6;7;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;VIMM;;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;3;-4;;;200;6;260;5;;;;;;;2;2;0;35;759;755;1;1;1;0;19,00;18,40;ABBO;;2;31;;1;9;12;5;2;2;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;3;-4;;;200;6;260;5;;;;;;;2;2;0;35;759;755;1;1;1;0;19,00;18,40;BJÖR;;2;9;;7;2;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;3;-4;;;200;6;260;5;;;;;;;2;2;0;35;759;755;1;1;1;0;19,00;18,40;GERS;;2;6;;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;3;-4;;;200;6;260;5;;;;;;;2;2;0;35;759;755;1;1;1;0;19,00;18,40;GÖS;;2;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;3;-4;;;200;6;260;5;;;;;;;2;2;0;35;759;755;1;1;1;0;19,00;18,40;MÖRT;;2;22;;;8;7;3;3;1;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;3;-4;;;200;6;260;5;;;;;;;2;2;0;35;759;755;1;1;1;0;19,00;18,40;SARV;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;4;12;16,10;15,90;330;7;210;8;;;;;;;0;0;0;22;760;763;1;1;0;0;16,10;15,90;ABBO;;2;72;;2;32;12;13;5;3;4;;;1;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;4;12;16,10;15,90;330;7;210;8;;;;;;;0;0;0;22;760;763;1;1;0;0;16,10;15,90;BJÖR;;2;18;;2;12;4;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;4;12;16,10;15,90;330;7;210;8;;;;;;;0;0;0;22;760;763;1;1;0;0;16,10;15,90;GERS;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;4;12;16,10;15,90;330;7;210;8;;;;;;;0;0;0;22;760;763;1;1;0;0;16,10;15,90;MÖRT;;2;34;;;27;4;3;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;4;12;16,10;15,90;330;7;210;8;;;;;;;0;0;0;22;760;763;1;1;0;0;16,10;15,90;STRÖ;;2;15;;1;;;13;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;5;14;16,30;16,00;210;8;250;6;;;;;;;0;0;0;28;763;760;1;1;0;0;16,20;16,00;ABBO;;2;31;1;;13;3;7;1;;1;1;2;1;;1;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;5;14;16,30;16,00;210;8;250;6;;;;;;;0;0;0;28;763;760;1;1;0;0;16,20;16,00;BJÖR;;2;5;;3;;1;1;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;5;14;16,30;16,00;210;8;250;6;;;;;;;0;0;0;28;763;760;1;1;0;0;16,20;16,00;GERS;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;5;14;16,30;16,00;210;8;250;6;;;;;;;0;0;0;28;763;760;1;1;0;0;16,20;16,00;MÖRT;;2;32;;;29;2;1;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;31;5;14;16,30;16,00;210;8;250;6;;;;;;;0;0;0;28;763;760;1;1;0;0;16,20;16,00;STRÖ;;2;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;2;8;17,20;17,30;220;8;230;10;;;;;;;0;0;0;29;755;755;1;1;0;0;17,10;17,20;ABBO;;2;99;;;42;16;18;6;3;6;3;2;;2;1;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;2;8;17,20;17,30;220;8;230;10;;;;;;;0;0;0;29;755;755;1;1;0;0;17,10;17,20;BJÖR;;2;3;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;2;8;17,20;17,30;220;8;230;10;;;;;;;0;0;0;29;755;755;1;1;0;0;17,10;17,20;GÄDD;;2;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;2;8;17,20;17,30;220;8;230;10;;;;;;;0;0;0;29;755;755;1;1;0;0;17,10;17,20;MÖRT;;2;13;;;12;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;2;8;17,20;17,30;220;8;230;10;;;;;;;0;0;0;29;755;755;1;1;0;0;17,10;17,20;STRÖ;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;3;18;17,80;17,00;220;10;250;8;;;;;;;0;0;0;34;755;755;1;1;0;0;17,70;17,10;ABBO;;2;51;;;15;16;9;1;4;3;2;1;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;3;18;17,80;17,00;220;10;250;8;;;;;;;0;0;0;34;755;755;1;1;0;0;17,70;17,10;BJÖR;;2;7;;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;3;18;17,80;17,00;220;10;250;8;;;;;;;0;0;0;34;755;755;1;1;0;0;17,70;17,10;MÖRT;;2;21;;;17;4;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;3;18;17,80;17,00;220;10;250;8;;;;;;;0;0;0;34;755;755;1;1;0;0;17,70;17,10;STRÖ;;2;3;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;4;16;17,80;17,10;240;8;250;9;;;;;;;0;0;0;31;761;760;1;1;0;0;17,60;17,10;ABBO;;2;40;;;12;8;8;2;5;1;2;1;;;;1;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;4;16;17,80;17,10;240;8;250;9;;;;;;;0;0;0;31;761;760;1;1;0;0;17,60;17,10;BJÖR;;2;10;;5;1;3;1;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;4;16;17,80;17,10;240;8;250;9;;;;;;;0;0;0;31;761;760;1;1;0;0;17,60;17,10;BRAX;;2;2;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;4;16;17,80;17,10;240;8;250;9;;;;;;;0;0;0;31;761;760;1;1;0;0;17,60;17,10;MÖRT;;2;20;;;15;2;2;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;4;16;17,80;17,10;240;8;250;9;;;;;;;0;0;0;31;761;760;1;1;0;0;17,60;17,10;STRÖ;;2;8;;;;;8;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;5;16;17,80;17,10;250;9;280;8;;;;;;;0;0;0;31;760;763;1;1;0;0;17,60;16,80;ABBO;;2;54;;;15;13;12;4;4;3;1;1;;1;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;5;16;17,80;17,10;250;9;280;8;;;;;;;0;0;0;31;760;763;1;1;0;0;17,60;16,80;BJÖR;;2;4;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;5;16;17,80;17,10;250;9;280;8;;;;;;;0;0;0;31;760;763;1;1;0;0;17,60;16,80;GERS;;2;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;5;16;17,80;17,10;250;9;280;8;;;;;;;0;0;0;31;760;763;1;1;0;0;17,60;16,80;MÖRT;;2;13;;;11;1;1;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1992;32;5;16;17,80;17,10;250;9;280;8;;;;;;;0;0;0;31;760;763;1;1;0;0;17,60;16,80;STRÖ;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;ABBO;;2;71;;6;21;20;12;2;1;2;2;2;3;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;BJÖR;;2;20;;6;4;7;2;;1;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;BRAX;;2;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;GERS;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;MÖRT;;2;105;;;58;37;10;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;SARV;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;STRÖ;;2;3;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;2;16;16,30;16,90;210;5;130;2;;;;;;;2;2;0;26;765;765;1;1;0;0;16,80;17,40;VIMM;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;3;8;17,20;16,80;160;7;210;7;;;;;;;2;2;0;18;765;762;1;1;0;0;16,80;16,60;ABBO;;2;41;;2;21;5;6;2;;2;;1;;1;1;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;3;8;17,20;16,80;160;7;210;7;;;;;;;2;2;0;18;765;762;1;1;0;0;16,80;16,60;BJÖR;;2;9;;3;;5;;;;;1;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;3;8;17,20;16,80;160;7;210;7;;;;;;;2;2;0;18;765;762;1;1;0;0;16,80;16,60;GERS;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;3;8;17,20;16,80;160;7;210;7;;;;;;;2;2;0;18;765;762;1;1;0;0;16,80;16,60;GÖS;;2;2;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;3;8;17,20;16,80;160;7;210;7;;;;;;;2;2;0;18;765;762;1;1;0;0;16,80;16,60;MÖRT;;2;50;;;22;26;2;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;3;8;17,20;16,80;160;7;210;7;;;;;;;2;2;0;18;765;762;1;1;0;0;16,80;16,60;STRÖ;;2;6;;;;;4;1;1;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;4;12;16,70;16,70;210;8;220;6;;;;;;;2;2;0;24;762;760;1;1;0;0;17,30;16,70;ABBO;;2;70;;2;39;16;11;1;1;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;4;12;16,70;16,70;210;8;220;6;;;;;;;2;2;0;24;762;760;1;1;0;0;17,30;16,70;BJÖR;;2;13;;7;3;3;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;4;12;16,70;16,70;210;8;220;6;;;;;;;2;2;0;24;762;760;1;1;0;0;17,30;16,70;GÖS;;2;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;4;12;16,70;16,70;210;8;220;6;;;;;;;2;2;0;24;762;760;1;1;0;0;17,30;16,70;MÖRT;;2;40;;;22;10;7;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;4;12;16,70;16,70;210;8;220;6;;;;;;;2;2;0;24;762;760;1;1;0;0;17,30;16,70;STRÖ;;2;11;;;;;10;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;5;10;16,20;16,40;240;6;360;2;;;;;;;2;2;0;26;760;762;1;1;0;0;17,10;17,10;ABBO;;2;88;;6;43;23;11;1;2;1;1;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;5;10;16,20;16,40;240;6;360;2;;;;;;;2;2;0;26;760;762;1;1;0;0;17,10;17,10;BJÖR;;2;20;;7;8;1;3;;1;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;5;10;16,20;16,40;240;6;360;2;;;;;;;2;2;0;26;760;762;1;1;0;0;17,10;17,10;GERS;;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;5;10;16,20;16,40;240;6;360;2;;;;;;;2;2;0;26;760;762;1;1;0;0;17,10;17,10;MÖRT;;2;85;;6;65;12;2;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;31;5;10;16,20;16,40;240;6;360;2;;;;;;;2;2;0;26;760;762;1;1;0;0;17,10;17,10;STRÖ;;2;7;;;;2;4;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;32;2;20;16,90;16,70;200;6;160;6;;;;;;;2;2;0;27;758;751;1;1;0;0;16,80;16,50;ABBO;;2;81;;2;20;46;12;;;;;1;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;32;2;20;16,90;16,70;200;6;160;6;;;;;;;2;2;0;27;758;751;1;1;0;0;16,80;16,50;BJÖR;;2;13;;7;4;2;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1993;32;2;20;16,90;16,70;200;6;160;6;;;;;;;2;2;0;27;758;751;1;1;0;0;16,80;16,50;BRAX;;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
